2025-03-04 01:37:34 | Power Usage: 219.81W/320.0W | Memory Usage: 21.409379579872983% | GPU Utilization: 70%
2025-03-04 01:37:34 | Power Usage: 215.16W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 81%
2025-03-04 01:37:34 | Power Usage: 215.13W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 81%
2025-03-04 01:37:34 | Power Usage: 212.53W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 77%
2025-03-04 01:37:34 | Power Usage: 212.85W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 73%
2025-03-04 01:37:34 | Power Usage: 211.71W/320.0W | Memory Usage: 21.42769907181241% | GPU Utilization: 73%
2025-03-04 01:37:35 | Power Usage: 212.09W/320.0W | Memory Usage: 21.42769907181241% | GPU Utilization: 74%
2025-03-04 01:37:35 | Power Usage: 211.64W/320.0W | Memory Usage: 21.42769907181241% | GPU Utilization: 77%
2025-03-04 01:37:35 | Power Usage: 211.01W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 77%
2025-03-04 01:37:35 | Power Usage: 210.32W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 78%
2025-03-04 01:37:35 | Power Usage: 208.1W/320.0W | Memory Usage: 21.42769907181241% | GPU Utilization: 78%
2025-03-04 01:37:35 | Power Usage: 209.98W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 70%
2025-03-04 01:37:35 | Power Usage: 209.68W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 77%
2025-03-04 01:37:35 | Power Usage: 207.18W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 77%
2025-03-04 01:37:36 | Power Usage: 205.39W/320.0W | Memory Usage: 21.42769907181241% | GPU Utilization: 78%
2025-03-04 01:37:36 | Power Usage: 202.97W/320.0W | Memory Usage: 21.42769907181241% | GPU Utilization: 64%
2025-03-04 01:37:36 | Power Usage: 208.54W/320.0W | Memory Usage: 21.42769907181241% | GPU Utilization: 80%
2025-03-04 01:37:36 | Power Usage: 204.13W/320.0W | Memory Usage: 21.42769907181241% | GPU Utilization: 80%
2025-03-04 01:37:36 | Power Usage: 209.47W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 78%
2025-03-04 01:37:36 | Power Usage: 210.31W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 78%
2025-03-04 01:37:36 | Power Usage: 204.51W/320.0W | Memory Usage: 21.415486077186127% | GPU Utilization: 73%
2025-03-04 01:37:36 | Power Usage: 209.94W/320.0W | Memory Usage: 21.415486077186127% | GPU Utilization: 73%
2025-03-04 01:37:37 | Power Usage: 211.58W/320.0W | Memory Usage: 21.415486077186127% | GPU Utilization: 77%
2025-03-04 01:37:37 | Power Usage: 212.31W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 77%
2025-03-04 01:37:37 | Power Usage: 215.62W/320.0W | Memory Usage: 21.415486077186127% | GPU Utilization: 77%
2025-03-04 01:37:37 | Power Usage: 209.23W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 70%
2025-03-04 01:37:37 | Power Usage: 211.77W/320.0W | Memory Usage: 21.421592574499268% | GPU Utilization: 70%
2025-03-04 01:37:37 | Power Usage: 215.19W/320.0W | Memory Usage: 21.415486077186127% | GPU Utilization: 84%
2025-03-04 01:37:37 | Power Usage: 209.51W/320.0W | Memory Usage: 21.415486077186127% | GPU Utilization: 84%
2025-03-04 01:37:37 | Power Usage: 214.08W/320.0W | Memory Usage: 21.415486077186127% | GPU Utilization: 80%
2025-03-04 01:37:38 | Power Usage: 213.2W/320.0W | Memory Usage: 21.415486077186127% | GPU Utilization: 74%
2025-03-04 01:37:38 | Power Usage: 215.4W/320.0W | Memory Usage: 21.415486077186127% | GPU Utilization: 74%
2025-03-04 01:37:38 | Power Usage: 217.31W/320.0W | Memory Usage: 21.415486077186127% | GPU Utilization: 78%
2025-03-04 01:37:38 | Power Usage: 214.54W/320.0W | Memory Usage: 21.42769907181241% | GPU Utilization: 73%
2025-03-04 01:37:38 | Power Usage: 219.14W/320.0W | Memory Usage: 21.42769907181241% | GPU Utilization: 73%
2025-03-04 01:37:38 | Power Usage: 216.13W/320.0W | Memory Usage: 21.42769907181241% | GPU Utilization: 84%
2025-03-04 01:37:38 | Power Usage: 212.8W/320.0W | Memory Usage: 21.42769907181241% | GPU Utilization: 84%
2025-03-04 01:37:38 | Power Usage: 214.19W/320.0W | Memory Usage: 21.42769907181241% | GPU Utilization: 82%
2025-03-04 01:37:39 | Power Usage: 216.71W/320.0W | Memory Usage: 21.42769907181241% | GPU Utilization: 72%
2025-03-04 01:37:39 | Power Usage: 218.48W/320.0W | Memory Usage: 21.42769907181241% | GPU Utilization: 72%
2025-03-04 01:37:39 | Power Usage: 215.95W/320.0W | Memory Usage: 21.42769907181241% | GPU Utilization: 80%
2025-03-04 01:37:39 | Power Usage: 219.49W/320.0W | Memory Usage: 21.43991206643869% | GPU Utilization: 80%
2025-03-04 01:37:39 | Power Usage: 221.09W/320.0W | Memory Usage: 21.43991206643869% | GPU Utilization: 74%
2025-03-04 01:37:39 | Power Usage: 217.7W/320.0W | Memory Usage: 21.43991206643869% | GPU Utilization: 85%
